phase,t,pos,vel,effort_js,wrench_fx,cmd_v
exp,0.0113,-1.420787,-0.000001,0.000,-0.000018,0.0023
exp,0.0254,-1.420787,-0.000001,0.000,0.045065,0.0051
exp,0.0357,-1.420769,0.002253,0.000,0.045065,0.0071
exp,0.0399,-1.420749,0.005057,0.000,0.101146,0.0080
exp,0.0498,-1.420720,0.007119,0.000,0.142390,0.0100
exp,0.0609,-1.420656,0.007961,0.000,0.159229,0.0122
exp,0.0730,-1.420577,0.009923,0.000,0.243019,0.0146
exp,0.0847,-1.420480,0.012150,0.000,0.291225,0.0169
exp,0.0967,-1.420363,0.014561,0.000,0.291225,0.0193
exp,0.1015,-1.420363,0.014561,0.000,0.291225,0.0203
exp,0.1101,-1.420296,0.016904,0.000,0.291225,0.0220
exp,0.1215,-1.420141,0.019292,0.000,0.385848,0.0243
exp,0.1341,-1.419869,0.024232,0.000,0.439088,0.0268
exp,0.1462,-1.419665,0.026741,0.000,0.484657,0.0292
exp,0.1499,-1.419558,0.026741,0.000,0.534838,0.0300
exp,0.1597,-1.419558,0.026741,0.000,0.534838,0.0319
exp,0.1715,-1.419441,0.029173,0.000,0.583467,0.0343
exp,0.1829,-1.419325,0.029173,0.000,0.637317,0.0366
exp,0.1948,-1.418777,0.036489,0.000,0.684264,0.0390
exp,0.1999,-1.418476,0.038850,0.000,0.729794,0.0400
exp,0.2101,-1.418321,0.038850,0.000,0.777007,0.0420
exp,0.2198,-1.418165,0.038850,0.000,0.777008,0.0440
exp,0.2320,-1.418006,0.039884,0.000,0.797685,0.0464
exp,0.2452,-1.417487,0.043838,0.000,0.876774,0.0490
exp,0.2579,-1.417302,0.046278,0.000,0.876774,0.0516
exp,0.2597,-1.417117,0.046278,0.000,0.925570,0.0519
exp,0.2702,-1.416716,0.051438,0.000,0.978204,0.0540
exp,0.2809,-1.416293,0.053895,0.000,1.036235,0.0562
exp,0.2931,-1.415853,0.056042,0.000,1.077903,0.0586
