phase,t,pos,vel,effort_js,wrench_fx,cmd_v
exp,0.0131,-1.421385,-0.000001,0.000,-0.000018,0.0026
exp,0.0258,-1.421385,-0.000001,0.000,-0.000017,0.0052
exp,0.0374,-1.421385,-0.000001,0.000,-0.000017,0.0075
exp,0.0480,-1.421385,-0.000001,0.000,0.052430,0.0096
exp,0.0595,-1.421344,0.005141,0.000,0.102828,0.0119
exp,0.0712,-1.421217,0.009577,0.000,0.149149,0.0142
exp,0.0741,-1.421169,0.011874,0.000,0.191554,0.0148
exp,0.0843,-1.421112,0.014195,0.000,0.237485,0.0169
exp,0.0964,-1.420929,0.016817,0.000,0.295730,0.0193
exp,0.1079,-1.420785,0.019238,0.000,0.384776,0.0216
exp,0.1203,-1.420545,0.021525,0.000,0.430519,0.0241
exp,0.1242,-1.420373,0.021525,0.000,0.430519,0.0248
exp,0.1342,-1.420277,0.024006,0.000,0.495706,0.0268
exp,0.1446,-1.420078,0.024785,0.000,0.535225,0.0289
exp,0.1571,-1.419864,0.026761,0.000,0.576895,0.0314
exp,0.1691,-1.419633,0.028844,0.000,0.626977,0.0338
exp,0.1741,-1.419383,0.031348,0.000,0.674496,0.0348
exp,0.1841,-1.419113,0.033724,0.000,0.694415,0.0368
exp,0.1942,-1.418974,0.034720,0.000,0.694415,0.0388
exp,0.2064,-1.418680,0.036731,0.000,0.774794,0.0413
exp,0.2182,-1.418206,0.041183,0.000,0.823666,0.0436
exp,0.2306,-1.417867,0.043522,0.000,0.870449,0.0461
exp,0.2345,-1.417693,0.043522,0.000,0.870449,0.0469
exp,0.2444,-1.417335,0.046001,0.000,0.920023,0.0489
exp,0.2550,-1.417335,0.046001,0.000,0.935756,0.0510
exp,0.2678,-1.416952,0.048748,0.000,0.935756,0.0536
exp,0.2798,-1.416351,0.050860,0.000,1.017206,0.0560
exp,0.2843,-1.416147,0.050860,0.000,1.017206,0.0569
exp,0.2942,-1.415710,0.055813,0.000,1.116266,0.0588
exp,0.3049,-1.415256,0.056711,0.000,1.134226,0.0610
exp,0.3194,-1.415022,0.058693,0.000,1.173876,0.0639
exp,0.3288,-1.414787,0.058693,0.000,1.173876,0.0658
exp,0.3410,-1.414300,0.060832,0.000,1.274265,0.0682
exp,0.3444,-1.413783,0.065588,0.000,1.311771,0.0689
exp,0.3544,-1.413239,0.068023,0.000,1.360464,0.0709
exp,0.3654,-1.412681,0.070706,0.000,1.374028,0.0731
exp,0.3779,-1.412398,0.070706,0.000,1.414123,0.0756
exp,0.3910,-1.411815,0.072900,0.000,1.458004,0.0782
exp,0.4023,-1.411222,0.075386,0.000,1.458004,0.0805
exp,0.4045,-1.410910,0.078002,0.000,1.507729,0.0809
exp,0.4142,-1.410598,0.078002,0.000,1.560058,0.0828
exp,0.4264,-1.409624,0.082634,0.000,1.613695,0.0853
exp,0.4388,-1.408953,0.085053,0.000,1.701077,0.0878
exp,0.4529,-1.408953,0.085053,0.000,1.701077,0.0906
exp,0.4544,-1.408953,0.085053,0.000,1.701076,0.0909
exp,0.4646,-1.408613,0.085053,0.000,1.750680,0.0929
exp,0.4755,-1.408613,0.085053,0.000,1.812845,0.0951
exp,0.4872,-1.407150,0.094864,0.000,1.897296,0.0974
exp,0.4995,-1.406391,0.094864,0.000,1.943910,0.0999
exp,0.5115,-1.406002,0.097195,0.000,1.943910,0.1023
exp,0.5160,-1.405613,0.097195,0.000,1.992795,0.1032
exp,0.5255,-1.405613,0.097195,0.000,-1.982266,0.1051
exp,0.5368,-1.404807,0.102033,0.000,2.040665,0.1074
exp,0.5488,-1.403547,0.107081,0.000,2.058816,0.1098
exp,0.5607,-1.403119,0.107081,0.000,2.141626,0.1121
exp,0.5646,-1.402681,0.109478,0.000,2.141626,0.1129
exp,0.5741,-1.402234,0.111863,0.000,-2.247769,0.1148
exp,0.5858,-1.401783,0.112641,0.000,2.290367,0.1172
exp,0.6001,-1.401325,0.114518,0.000,2.290366,0.1200
exp,0.6106,-1.400400,0.116859,0.000,2.290366,0.1221
exp,0.6141,-1.399453,0.119714,0.000,2.337201,0.1228
exp,0.6240,-1.398966,0.121814,0.000,2.436291,0.1248
exp,0.6348,-1.397986,0.122500,0.000,2.450017,0.1270
exp,0.6471,-1.396981,0.126642,0.000,2.532855,0.1294
exp,0.6614,-1.395959,0.129081,0.000,2.581628,0.1323
exp,0.6714,-1.395442,0.129081,0.000,2.581628,0.1343
exp,0.6743,-1.394410,0.129081,0.000,2.581628,0.1349
exp,0.6844,-1.393874,0.133941,0.000,2.581629,0.1369
exp,0.6962,-1.392798,0.134516,0.000,2.690332,0.1392
exp,0.7083,-1.391705,0.136527,0.000,2.777647,0.1417
exp,0.7212,-1.391150,0.138882,0.000,2.777647,0.1442
exp,0.7327,-1.391150,0.138882,0.000,2.825994,0.1465
exp,0.7348,-1.390029,0.141299,0.000,2.825994,0.1470
exp,0.7445,-1.390029,0.141299,0.000,2.877270,0.1489
exp,0.7578,-1.388273,0.148522,0.000,2.970460,0.1516
exp,0.7695,-1.387075,0.151167,0.000,3.023351,0.1539
exp,0.7814,-1.385865,0.151167,0.000,3.023351,0.1563
exp,0.7843,-1.385251,0.153501,0.000,3.023351,0.1569
exp,0.7950,-1.385251,0.153501,0.000,3.070034,0.1590
exp,0.8065,-1.384011,0.156458,0.000,3.070033,0.1613
exp,0.8182,-1.382743,0.158597,0.000,3.129168,0.1636
exp,0.8308,-1.381456,0.160891,0.000,3.217833,0.1662
exp,0.8343,-1.380803,0.163230,0.000,3.217833,0.1669
exp,0.8441,-1.379487,0.165739,0.000,3.264612,0.1688
exp,0.8548,-1.378821,0.166437,0.000,3.314800,0.1710
exp,0.8695,-1.378147,0.168399,0.000,3.328749,0.1739
exp,0.8794,-1.377474,0.168399,0.000,3.368002,0.1759
exp,0.8844,-1.375408,0.175436,0.000,3.410451,0.1769
exp,0.8941,-1.374706,0.175436,0.000,3.508734,0.1788
exp,0.9044,-1.374004,0.175436,0.000,3.508734,0.1809
exp,0.9161,-1.373299,0.176426,0.000,3.528539,0.1832
exp,0.9282,-1.371864,0.180412,0.000,3.655015,0.1856
exp,0.9404,-1.369661,0.185175,0.000,3.703527,0.1881
exp,0.9440,-1.368180,0.185175,0.000,3.703527,0.1888
exp,0.9543,-1.366676,0.188328,0.000,3.752191,0.1909
exp,0.9651,-1.365922,0.188328,0.000,3.807543,0.1930
exp,0.9775,-1.363629,0.192529,0.000,3.850602,0.1955
exp,0.9894,-1.361309,0.195006,0.000,3.900140,0.1979
exp,0.9945,-1.358960,0.197374,0.000,3.947489,0.1989
exp,1.0043,-1.357376,0.198391,0.000,3.947490,0.2009
exp,1.0145,-1.356583,0.198391,0.000,3.967844,0.2029
exp,1.0260,-1.354171,0.202382,0.000,4.006921,0.2052
exp,1.0385,-1.351733,0.204683,0.000,4.047658,0.2077
exp,1.0503,-1.349267,0.207169,0.000,4.093670,0.2101
exp,1.0541,-1.348438,0.207169,0.000,4.143400,0.2108
exp,1.0643,-1.346762,0.209533,0.000,4.190677,0.2129
exp,1.0753,-1.345071,0.212312,0.000,4.205589,0.2151
exp,1.0880,-1.342506,0.214520,0.000,4.290412,0.2176
exp,1.1001,-1.340780,0.217043,0.000,4.290412,0.2200
exp,1.1045,-1.339043,0.217043,0.000,4.340888,0.2209
exp,1.1141,-1.337288,0.219458,0.000,4.389183,0.2228
exp,1.1246,-1.336406,0.220328,0.000,4.389184,0.2249
exp,1.1366,-1.333731,0.224343,0.000,4.445264,0.2273
exp,1.1486,-1.331936,0.224343,0.000,4.486871,0.2297
exp,1.1542,-1.330122,0.226750,0.000,4.582772,0.2308
exp,1.1643,-1.328289,0.229138,0.000,4.604955,0.2329
exp,1.1748,-1.326439,0.232270,0.000,4.645413,0.2350
exp,1.1861,-1.324573,0.234357,0.000,4.687155,0.2372
exp,1.1983,-1.323635,0.234357,0.000,4.687155,0.2397
exp,1.2118,-1.319867,0.236612,0.000,4.732254,0.2424
exp,1.2145,-1.318911,0.239052,0.000,4.732255,0.2429
exp,1.2260,-1.316032,0.241735,0.000,4.781051,0.2452
exp,1.2351,-1.316032,0.241735,0.000,4.834715,0.2470
exp,1.2468,-1.313115,0.244581,0.000,4.891640,0.2494
exp,1.2588,-1.310149,0.248725,0.000,4.974518,0.2518
exp,1.2724,-1.308150,0.251115,0.000,5.022325,0.2545
exp,1.2864,-1.308150,0.251115,0.000,5.022325,0.2573
exp,1.2962,-1.305126,0.253833,0.000,5.022325,0.2592
exp,1.3078,-1.304099,0.256621,0.000,5.076680,0.2616
exp,1.3199,-1.302038,0.258585,0.000,5.132442,0.2640
exp,1.3245,-1.299951,0.260886,0.000,5.171716,0.2649
exp,1.3344,-1.298898,0.263303,0.000,5.217750,0.2669
exp,1.3456,-1.298898,0.263303,0.000,5.217749,0.2691
exp,1.3583,-1.296776,0.266204,0.000,5.284502,0.2717
exp,1.3690,-1.293554,0.270968,0.000,5.324102,0.2738
exp,1.3742,-1.291386,0.270968,0.000,5.419374,0.2748
exp,1.3845,-1.289197,0.274141,0.000,5.419374,0.2769
exp,1.3946,-1.288101,0.274141,0.000,5.482844,0.2789
